date,order_id,revenue,country,device,customer_type,acquisition_channel
2026-02-16,ORD-00036,80.00,Germany,Mobile,New,Paid Search
2026-02-17,ORD-00037,80.00,Germany,Mobile,New,Paid Search
2026-02-18,ORD-00038,80.00,Germany,Mobile,New,Paid Search
2026-02-19,ORD-00039,80.00,Germany,Mobile,New,Paid Search
2026-02-20,ORD-00040,80.00,Germany,Mobile,New,Paid Search
2026-01-21,ORD-00041,100.00,Germany,Desktop,Returning,Organic Search
2026-01-22,ORD-00042,100.00,Germany,Desktop,Returning,Organic Search
2026-01-23,ORD-00043,100.00,Germany,Desktop,Returning,Organic Search
2026-01-24,ORD-00044,100.00,Germany,Desktop,Returning,Organic Search
2026-01-25,ORD-00045,100.00,Germany,Desktop,Returning,Organic Search
2026-02-21,ORD-00046,170.00,Germany,Desktop,Returning,Organic Search
2026-02-22,ORD-00047,170.00,Germany,Desktop,Returning,Organic Search
2026-02-23,ORD-00048,170.00,Germany,Desktop,Returning,Organic Search
2026-02-24,ORD-00049,170.00,Germany,Desktop,Returning,Organic Search
2026-02-25,ORD-00050,170.00,Germany,Desktop,Returning,Organic Search
2026-01-26,ORD-00051,100.00,Germany,Desktop,Returning,Paid Search
2026-01-27,ORD-00052,100.00,Germany,Desktop,Returning,Paid Search
2026-01-28,ORD-00053,100.00,Germany,Desktop,Returning,Paid Search
2026-01-29,ORD-00054,100.00,Germany,Desktop,Returning,Paid Search
2026-01-30,ORD-00055,100.00,Germany,Desktop,Returning,Paid Search
2026-02-26,ORD-00056,170.00,Germany,Desktop,Returning,Paid Search
2026-02-27,ORD-00057,170.00,Germany,Desktop,Returning,Paid Search
2026-02-28,ORD-00058,170.00,Germany,Desktop,Returning,Paid Search
2026-02-01,ORD-00059,170.00,Germany,Desktop,Returning,Paid Search
2026-02-02,ORD-00060,170.00,Germany,Desktop,Returning,Paid Search
2026-01-31,ORD-00061,100.00,Germany,Desktop,New,Organic Search
2026-01-01,ORD-00062,100.00,Germany,Desktop,New,Organic Search
2026-01-02,ORD-00063,100.00,Germany,Desktop,New,Organic Search
2026-01-03,ORD-00064,100.00,Germany,Desktop,New,Organic Search
2026-01-04,ORD-00065,100.00,Germany,Desktop,New,Organic Search
2026-02-03,ORD-00066,20.00,Germany,Desktop,New,Organic Search
2026-02-04,ORD-00067,20.00,Germany,Desktop,New,Organic Search
2026-02-05,ORD-00068,20.00,Germany,Desktop,New,Organic Search
2026-02-06,ORD-00069,20.00,Germany,Desktop,New,Organic Search
2026-02-07,ORD-00070,20.00,Germany,Desktop,New,Organic Search
2026-01-05,ORD-00071,100.00,Germany,Desktop,New,Paid Search
2026-01-06,ORD-00072,100.00,Germany,Desktop,New,Paid Search
2026-01-07,ORD-00073,100.00,Germany,Desktop,New,Paid Search
2026-01-08,ORD-00074,100.00,Germany,Desktop,New,Paid Search
2026-01-09,ORD-00075,100.00,Germany,Desktop,New,Paid Search
2026-02-08,ORD-00076,20.00,Germany,Desktop,New,Paid Search
2026-02-09,ORD-00077,20.00,Germany,Desktop,New,Paid Search
2026-02-10,ORD-00078,20.00,Germany,Desktop,New,Paid Search
2026-02-11,ORD-00079,20.00,Germany,Desktop,New,Paid Search
2026-02-12,ORD-00080,20.00,Germany,Desktop,New,Paid Search
2026-01-10,ORD-00081,100.00,France,Mobile,Returning,Organic Search
2026-01-11,ORD-00082,100.00,France,Mobile,Returning,Organic Search
2026-01-12,ORD-00083,100.00,France,Mobile,Returning,Organic Search
2026-01-13,ORD-00084,100.00,France,Mobile,Returning,Organic Search
2026-01-14,ORD-00085,100.00,France,Mobile,Returning,Organic Search
2026-02-13,ORD-00086,120.00,France,Mobile,Returning,Organic Search
2026-02-14,ORD-00087,120.00,France,Mobile,Returning,Organic Search
2026-02-15,ORD-00088,120.00,France,Mobile,Returning,Organic Search
2026-02-16,ORD-00089,120.00,France,Mobile,Returning,Organic Search
2026-02-17,ORD-00090,120.00,France,Mobile,Returning,Organic Search
2026-01-15,ORD-00091,100.00,France,Mobile,Returning,Paid Search
2026-01-16,ORD-00092,100.00,France,Mobile,Returning,Paid Search
2026-01-17,ORD-00093,100.00,France,Mobile,Returning,Paid Search
2026-01-18,ORD-00094,100.00,France,Mobile,Returning,Paid Search
2026-01-19,ORD-00095,100.00,France,Mobile,Returning,Paid Search
2026-02-18,ORD-00096,120.00,France,Mobile,Returning,Paid Search
2026-02-19,ORD-00097,120.00,France,Mobile,Returning,Paid Search
2026-02-20,ORD-00098,120.00,France,Mobile,Returning,Paid Search
2026-02-21,ORD-00099,120.00,France,Mobile,Returning,Paid Search
2026-02-22,ORD-00100,120.00,France,Mobile,Returning,Paid Search
2026-01-20,ORD-00101,100.00,France,Mobile,New,Organic Search
2026-01-21,ORD-00102,100.00,France,Mobile,New,Organic Search
2026-01-22,ORD-00103,100.00,France,Mobile,New,Organic Search
2026-01-23,ORD-00104,100.00,France,Mobile,New,Organic Search
2026-01-24,ORD-00105,100.00,France,Mobile,New,Organic Search
2026-02-23,ORD-00106,110.00,France,Mobile,New,Organic Search
2026-02-24,ORD-00107,110.00,France,Mobile,New,Organic Search
2026-02-25,ORD-00108,110.00,France,Mobile,New,Organic Search
2026-02-26,ORD-00109,110.00,France,Mobile,New,Organic Search
2026-02-27,ORD-00110,110.00,France,Mobile,New,Organic Search
2026-01-25,ORD-00111,100.00,France,Mobile,New,Paid Search
2026-01-26,ORD-00112,100.00,France,Mobile,New,Paid Search
2026-01-27,ORD-00113,100.00,France,Mobile,New,Paid Search
2026-01-28,ORD-00114,100.00,France,Mobile,New,Paid Search
2026-01-29,ORD-00115,100.00,France,Mobile,New,Paid Search
2026-02-28,ORD-00116,110.00,France,Mobile,New,Paid Search
2026-02-01,ORD-00117,110.00,France,Mobile,New,Paid Search
2026-02-02,ORD-00118,110.00,France,Mobile,New,Paid Search
2026-02-03,ORD-00119,110.00,France,Mobile,New,Paid Search
2026-02-04,ORD-00120,110.00,France,Mobile,New,Paid Search
2026-01-30,ORD-00121,100.00,France,Desktop,Returning,Organic Search
2026-01-31,ORD-00122,100.00,France,Desktop,Returning,Organic Search
2026-01-01,ORD-00123,100.00,France,Desktop,Returning,Organic Search
2026-01-02,ORD-00124,100.00,France,Desktop,Returning,Organic Search
2026-01-03,ORD-00125,100.00,France,Desktop,Returning,Organic Search
2026-02-05,ORD-00126,110.00,France,Desktop,Returning,Organic Search
2026-02-06,ORD-00127,110.00,France,Desktop,Returning,Organic Search
2026-02-07,ORD-00128,110.00,France,Desktop,Returning,Organic Search
2026-02-08,ORD-00129,110.00,France,Desktop,Returning,Organic Search
2026-02-09,ORD-00130,110.00,France,Desktop,Returning,Organic Search
2026-01-04,ORD-00131,100.00,France,Desktop,Returning,Paid Search
2026-01-05,ORD-00132,100.00,France,Desktop,Returning,Paid Search
2026-01-06,ORD-00133,100.00,France,Desktop,Returning,Paid Search
2026-01-07,ORD-00134,100.00,France,Desktop,Returning,Paid Search
2026-01-08,ORD-00135,100.00,France,Desktop,Returning,Paid Search
2026-02-10,ORD-00136,110.00,France,Desktop,Returning,Paid Search
2026-02-11,ORD-00137,110.00,France,Desktop,Returning,Paid Search
2026-02-12,ORD-00138,110.00,France,Desktop,Returning,Paid Search
2026-02-13,ORD-00139,110.00,France,Desktop,Returning,Paid Search
2026-02-14,ORD-00140,110.00,France,Desktop,Returning,Paid Search
2026-01-09,ORD-00141,100.00,France,Desktop,New,Organic Search
2026-01-10,ORD-00142,100.00,France,Desktop,New,Organic Search
2026-01-11,ORD-00143,100.00,France,Desktop,New,Organic Search
2026-01-12,ORD-00144,100.00,France,Desktop,New,Organic Search
2026-01-13,ORD-00145,100.00,France,Desktop,New,Organic Search
2026-02-15,ORD-00146,80.00,France,Desktop,New,Organic Search
2026-02-16,ORD-00147,80.00,France,Desktop,New,Organic Search
2026-02-17,ORD-00148,80.00,France,Desktop,New,Organic Search
2026-02-18,ORD-00149,80.00,France,Desktop,New,Organic Search
2026-02-19,ORD-00150,80.00,France,Desktop,New,Organic Search
2026-01-14,ORD-00151,100.00,France,Desktop,New,Paid Search
2026-01-15,ORD-00152,100.00,France,Desktop,New,Paid Search
2026-01-16,ORD-00153,100.00,France,Desktop,New,Paid Search
2026-01-17,ORD-00154,100.00,France,Desktop,New,Paid Search
2026-01-18,ORD-00155,100.00,France,Desktop,New,Paid Search
2026-02-20,ORD-00156,80.00,France,Desktop,New,Paid Search
2026-02-21,ORD-00157,80.00,France,Desktop,New,Paid Search
2026-02-22,ORD-00158,80.00,France,Desktop,New,Paid Search
2026-02-23,ORD-00159,80.00,France,Desktop,New,Paid Search
2026-02-24,ORD-00160,80.00,France,Desktop,New,Paid Search
2026-01-19,ORD-00161,100.00,United Kingdom,Mobile,Returning,Organic Search
2026-01-20,ORD-00162,100.00,United Kingdom,Mobile,Returning,Organic Search
2026-01-21,ORD-00163,100.00,United Kingdom,Mobile,Returning,Organic Search
2026-01-22,ORD-00164,100.00,United Kingdom,Mobile,Returning,Organic Search
2026-01-23,ORD-00165,100.00,United Kingdom,Mobile,Returning,Organic Search
2026-02-25,ORD-00166,110.00,United Kingdom,Mobile,Returning,Organic Search
2026-02-26,ORD-00167,110.00,United Kingdom,Mobile,Returning,Organic Search
2026-02-27,ORD-00168,110.00,United Kingdom,Mobile,Returning,Organic Search
2026-02-28,ORD-00169,110.00,United Kingdom,Mobile,Returning,Organic Search
2026-02-01,ORD-00170,110.00,United Kingdom,Mobile,Returning,Organic Search
2026-01-24,ORD-00171,100.00,United Kingdom,Mobile,Returning,Paid Search
2026-01-25,ORD-00172,100.00,United Kingdom,Mobile,Returning,Paid Search
2026-01-26,ORD-00173,100.00,United Kingdom,Mobile,Returning,Paid Search
2026-01-27,ORD-00174,100.00,United Kingdom,Mobile,Returning,Paid Search
2026-01-28,ORD-00175,100.00,United Kingdom,Mobile,Returning,Paid Search
2026-02-02,ORD-00176,110.00,United Kingdom,Mobile,Returning,Paid Search
2026-02-03,ORD-00177,110.00,United Kingdom,Mobile,Returning,Paid Search
2026-02-04,ORD-00178,110.00,United Kingdom,Mobile,Returning,Paid Search
2026-02-05,ORD-00179,110.00,United Kingdom,Mobile,Returning,Paid Search
2026-02-06,ORD-00180,110.00,United Kingdom,Mobile,Returning,Paid Search
2026-01-29,ORD-00181,100.00,United Kingdom,Mobile,New,Organic Search
2026-01-30,ORD-00182,100.00,United Kingdom,Mobile,New,Organic Search
2026-01-31,ORD-00183,100.00,United Kingdom,Mobile,New,Organic Search
2026-01-01,ORD-00184,100.00,United Kingdom,Mobile,New,Organic Search
2026-01-02,ORD-00185,100.00,United Kingdom,Mobile,New,Organic Search
2026-02-07,ORD-00186,110.00,United Kingdom,Mobile,New,Organic Search
2026-02-08,ORD-00187,110.00,United Kingdom,Mobile,New,Organic Search
2026-02-09,ORD-00188,110.00,United Kingdom,Mobile,New,Organic Search
2026-02-10,ORD-00189,110.00,United Kingdom,Mobile,New,Organic Search
2026-02-11,ORD-00190,110.00,United Kingdom,Mobile,New,Organic Search
2026-01-03,ORD-00191,100.00,United Kingdom,Mobile,New,Paid Search
2026-01-04,ORD-00192,100.00,United Kingdom,Mobile,New,Paid Search
2026-01-05,ORD-00193,100.00,United Kingdom,Mobile,New,Paid Search
2026-01-06,ORD-00194,100.00,United Kingdom,Mobile,New,Paid Search
2026-01-07,ORD-00195,100.00,United Kingdom,Mobile,New,Paid Search
2026-02-12,ORD-00196,110.00,United Kingdom,Mobile,New,Paid Search
2026-02-13,ORD-00197,110.00,United Kingdom,Mobile,New,Paid Search
2026-02-14,ORD-00198,110.00,United Kingdom,Mobile,New,Paid Search
2026-02-15,ORD-00199,110.00,United Kingdom,Mobile,New,Paid Search
2026-02-16,ORD-00200,110.00,United Kingdom,Mobile,New,Paid Search
2026-01-08,ORD-00201,100.00,United Kingdom,Desktop,Returning,Organic Search
2026-01-09,ORD-00202,100.00,United Kingdom,Desktop,Returning,Organic Search
2026-01-10,ORD-00203,100.00,United Kingdom,Desktop,Returning,Organic Search
2026-01-11,ORD-00204,100.00,United Kingdom,Desktop,Returning,Organic Search
2026-01-12,ORD-00205,100.00,United Kingdom,Desktop,Returning,Organic Search
2026-02-17,ORD-00206,90.00,United Kingdom,Desktop,Returning,Organic Search
2026-02-18,ORD-00207,90.00,United Kingdom,Desktop,Returning,Organic Search
2026-02-19,ORD-00208,90.00,United Kingdom,Desktop,Returning,Organic Search
2026-02-20,ORD-00209,90.00,United Kingdom,Desktop,Returning,Organic Search
2026-02-21,ORD-00210,90.00,United Kingdom,Desktop,Returning,Organic Search
2026-01-13,ORD-00211,100.00,United Kingdom,Desktop,Returning,Paid Search
2026-01-14,ORD-00212,100.00,United Kingdom,Desktop,Returning,Paid Search
2026-01-15,ORD-00213,100.00,United Kingdom,Desktop,Returning,Paid Search
2026-01-16,ORD-00214,100.00,United Kingdom,Desktop,Returning,Paid Search
2026-01-17,ORD-00215,100.00,United Kingdom,Desktop,Returning,Paid Search
2026-02-22,ORD-00216,90.00,United Kingdom,Desktop,Returning,Paid Search
2026-02-23,ORD-00217,90.00,United Kingdom,Desktop,Returning,Paid Search
2026-02-24,ORD-00218,90.00,United Kingdom,Desktop,Returning,Paid Search
2026-02-25,ORD-00219,90.00,United Kingdom,Desktop,Returning,Paid Search
2026-02-26,ORD-00220,90.00,United Kingdom,Desktop,Returning,Paid Search
2026-01-18,ORD-00221,100.00,United Kingdom,Desktop,New,Organic Search
2026-01-19,ORD-00222,100.00,United Kingdom,Desktop,New,Organic Search
2026-01-20,ORD-00223,100.00,United Kingdom,Desktop,New,Organic Search
2026-01-21,ORD-00224,100.00,United Kingdom,Desktop,New,Organic Search
2026-01-22,ORD-00225,100.00,United Kingdom,Desktop,New,Organic Search
2026-02-27,ORD-00226,60.00,United Kingdom,Desktop,New,Organic Search
2026-02-28,ORD-00227,60.00,United Kingdom,Desktop,New,Organic Search
2026-02-01,ORD-00228,60.00,United Kingdom,Desktop,New,Organic Search
2026-02-02,ORD-00229,60.00,United Kingdom,Desktop,New,Organic Search
2026-02-03,ORD-00230,60.00,United Kingdom,Desktop,New,Organic Search
2026-01-23,ORD-00231,100.00,United Kingdom,Desktop,New,Paid Search
2026-01-24,ORD-00232,100.00,United Kingdom,Desktop,New,Paid Search
2026-01-25,ORD-00233,100.00,United Kingdom,Desktop,New,Paid Search
2026-01-26,ORD-00234,100.00,United Kingdom,Desktop,New,Paid Search
2026-01-27,ORD-00235,100.00,United Kingdom,Desktop,New,Paid Search
2026-02-04,ORD-00236,60.00,United Kingdom,Desktop,New,Paid Search
2026-02-05,ORD-00237,60.00,United Kingdom,Desktop,New,Paid Search
2026-02-06,ORD-00238,60.00,United Kingdom,Desktop,New,Paid Search
2026-02-07,ORD-00239,60.00,United Kingdom,Desktop,New,Paid Search
2026-02-08,ORD-00240,60.00,United Kingdom,Desktop,New,Paid Search
2026-01-28,ORD-00241,100.00,United States,Mobile,Returning,Organic Search
2026-01-29,ORD-00242,100.00,United States,Mobile,Returning,Organic Search
2026-01-30,ORD-00243,100.00,United States,Mobile,Returning,Organic Search
2026-01-31,ORD-00244,100.00,United States,Mobile,Returning,Organic Search
2026-01-01,ORD-00245,100.00,United States,Mobile,Returning,Organic Search
2026-02-09,ORD-00246,100.00,United States,Mobile,Returning,Organic Search
2026-02-10,ORD-00247,100.00,United States,Mobile,Returning,Organic Search
2026-02-11,ORD-00248,100.00,United States,Mobile,Returning,Organic Search
2026-02-12,ORD-00249,100.00,United States,Mobile,Returning,Organic Search
2026-02-13,ORD-00250,100.00,United States,Mobile,Returning,Organic Search
2026-01-02,ORD-00251,100.00,United States,Mobile,Returning,Paid Search
2026-01-03,ORD-00252,100.00,United States,Mobile,Returning,Paid Search
2026-01-04,ORD-00253,100.00,United States,Mobile,Returning,Paid Search
2026-01-05,ORD-00254,100.00,United States,Mobile,Returning,Paid Search
2026-01-06,ORD-00255,100.00,United States,Mobile,Returning,Paid Search
2026-02-14,ORD-00256,100.00,United States,Mobile,Returning,Paid Search
2026-02-15,ORD-00257,100.00,United States,Mobile,Returning,Paid Search
2026-02-16,ORD-00258,100.00,United States,Mobile,Returning,Paid Search
2026-02-17,ORD-00259,100.00,United States,Mobile,Returning,Paid Search
2026-02-18,ORD-00260,100.00,United States,Mobile,Returning,Paid Search
2026-01-07,ORD-00261,100.00,United States,Mobile,New,Organic Search
2026-01-08,ORD-00262,100.00,United States,Mobile,New,Organic Search
2026-01-09,ORD-00263,100.00,United States,Mobile,New,Organic Search
2026-01-10,ORD-00264,100.00,United States,Mobile,New,Organic Search
2026-01-11,ORD-00265,100.00,United States,Mobile,New,Organic Search
2026-02-19,ORD-00266,110.00,United States,Mobile,New,Organic Search
2026-02-20,ORD-00267,110.00,United States,Mobile,New,Organic Search
2026-02-21,ORD-00268,110.00,United States,Mobile,New,Organic Search
2026-02-22,ORD-00269,110.00,United States,Mobile,New,Organic Search
2026-02-23,ORD-00270,110.00,United States,Mobile,New,Organic Search
2026-01-12,ORD-00271,100.00,United States,Mobile,New,Paid Search
2026-01-13,ORD-00272,100.00,United States,Mobile,New,Paid Search
2026-01-14,ORD-00273,100.00,United States,Mobile,New,Paid Search
2026-01-15,ORD-00274,100.00,United States,Mobile,New,Paid Search
2026-01-16,ORD-00275,100.00,United States,Mobile,New,Paid Search
2026-02-24,ORD-00276,110.00,United States,Mobile,New,Paid Search
2026-02-25,ORD-00277,110.00,United States,Mobile,New,Paid Search
2026-02-26,ORD-00278,110.00,United States,Mobile,New,Paid Search
2026-02-27,ORD-00279,110.00,United States,Mobile,New,Paid Search
2026-02-28,ORD-00280,110.00,United States,Mobile,New,Paid Search
2026-01-17,ORD-00281,100.00,United States,Desktop,Returning,Organic Search
2026-01-18,ORD-00282,100.00,United States,Desktop,Returning,Organic Search
2026-01-19,ORD-00283,100.00,United States,Desktop,Returning,Organic Search
2026-01-20,ORD-00284,100.00,United States,Desktop,Returning,Organic Search
2026-01-21,ORD-00285,100.00,United States,Desktop,Returning,Organic Search
2026-02-01,ORD-00286,90.00,United States,Desktop,Returning,Organic Search
2026-02-02,ORD-00287,90.00,United States,Desktop,Returning,Organic Search
2026-02-03,ORD-00288,90.00,United States,Desktop,Returning,Organic Search
2026-02-04,ORD-00289,90.00,United States,Desktop,Returning,Organic Search
2026-02-05,ORD-00290,90.00,United States,Desktop,Returning,Organic Search
2026-01-22,ORD-00291,100.00,United States,Desktop,Returning,Paid Search
2026-01-23,ORD-00292,100.00,United States,Desktop,Returning,Paid Search
2026-01-24,ORD-00293,100.00,United States,Desktop,Returning,Paid Search
2026-01-25,ORD-00294,100.00,United States,Desktop,Returning,Paid Search
2026-01-26,ORD-00295,100.00,United States,Desktop,Returning,Paid Search
2026-02-06,ORD-00296,90.00,United States,Desktop,Returning,Paid Search
2026-02-07,ORD-00297,90.00,United States,Desktop,Returning,Paid Search
2026-02-08,ORD-00298,90.00,United States,Desktop,Returning,Paid Search
2026-02-09,ORD-00299,90.00,United States,Desktop,Returning,Paid Search
2026-02-10,ORD-00300,90.00,United States,Desktop,Returning,Paid Search
2026-01-27,ORD-00301,100.00,United States,Desktop,New,Organic Search
2026-01-28,ORD-00302,100.00,United States,Desktop,New,Organic Search
2026-01-29,ORD-00303,100.00,United States,Desktop,New,Organic Search
2026-01-30,ORD-00304,100.00,United States,Desktop,New,Organic Search
2026-01-31,ORD-00305,100.00,United States,Desktop,New,Organic Search
2026-02-11,ORD-00306,90.00,United States,Desktop,New,Organic Search
2026-02-12,ORD-00307,90.00,United States,Desktop,New,Organic Search
2026-02-13,ORD-00308,90.00,United States,Desktop,New,Organic Search
2026-02-14,ORD-00309,90.00,United States,Desktop,New,Organic Search
2026-02-15,ORD-00310,90.00,United States,Desktop,New,Organic Search
2026-01-01,ORD-00311,100.00,United States,Desktop,New,Paid Search
2026-01-02,ORD-00312,100.00,United States,Desktop,New,Paid Search
2026-01-03,ORD-00313,100.00,United States,Desktop,New,Paid Search
2026-01-04,ORD-00314,100.00,United States,Desktop,New,Paid Search
2026-01-05,ORD-00315,100.00,United States,Desktop,New,Paid Search
2026-02-16,ORD-00316,90.00,United States,Desktop,New,Paid Search
2026-02-17,ORD-00317,90.00,United States,Desktop,New,Paid Search
2026-02-18,ORD-00318,90.00,United States,Desktop,New,Paid Search
2026-02-19,ORD-00319,90.00,United States,Desktop,New,Paid Search
2026-02-20,ORD-00320,90.00,United States,Desktop,New,Paid Search
